filepath,label,group_id,clean_stem,ahash,dhash
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125951 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0452,IMG_20211107_125951,1111110111111001111100011110000111100001110000111000001110000111,1110000111000001100000110000001100000011000001110000011000011110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154056 (Custom).jpg,Sooty Mould,Sooty Mould__g0296,IMG_20211211_154056,1100001111000011100000111000001110000111000011110001111111111111,0001011100001111001111110010111000001111001111111111111111011111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_161954 (Custom).jpg,Healthy,Healthy__g0439,20211231_161954,1110011111100111110001111100011111000111110001111100011111000111,1100110010001100100011001000110010001101100011001001110000011100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162553 (Custom).jpg,Cutting Weevil,Cutting Weevil__g0220,20211011_162553,1111100011111000111010001111000011100000111001001110100011101000,0000000000000000000110000100110000001100110010000000100001001000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/20211109_121422 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0018,20211109_121422,1111111111111111111100000000000000000000000000001100111111111111,0000000000000011000000110001100101100000000000110001101100000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_140448 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0251,IMG_20211106_140448,1111111111111110111100001111000011100001111000111100011111000111,0000000000010000000000110010011100000111010001100000110010011100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_143244 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0474,IMG_20211106_143244,1111111111011110110000001110000011110000111110001111100011111000,0100000000110000000101001000000000000000100000001000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_154808 (Custom).jpg,Sooty Mould,Sooty Mould__g0330,IMG_20211211_154808,1110011111000011110000111100001111000011110000111110001111110111,1000110010011110100111110001111100011110100111101000111011101100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_165131 (Custom).jpg,Anthracnose,Anthracnose__g0454,IMG_20211011_165131,0101111101001111010011110100011100100111001000110011001100111111,1011111010011110100111101100110111001110110001111110011011110110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_161830 (Custom).jpg,Die Back,Die Back__g0134,20211129_161830,1111110011111100111111001111100010000000111100001111100011111000,0000000000000000000000000010000000000001000000000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211028_002828 (Custom).jpg,Die Back,Die Back__g0459,IMG_20211028_002828,0000000000000000111001001110011011110111111101111110011111110110,1001000011001000110010001100110011001100110011001100010011100100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163801 (Custom).jpg,Gall Midge,Gall Midge__g0268,IMG_20211106_163801,1111111111111111111111001110000010000000000000111111111111111111,0000000000000000000000010000000100000111000011110001110100000001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_135258 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0147,IMG_20211106_135258,1110000011110000100010001000000011110000111111111111111111111111,1000000010000000001100000000011000000110000100000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211027_230015 (Custom).jpg,Die Back,Die Back__g0438,IMG_20211027_230015,1110111111101111111011111110111111001111110011110000000000000000,1101100011011000110010001100100011011000100110000011010000111110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_160853 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil__g0013,20211011_160853,1111100011111000111110001111100011100000111000001110000011100000,0000000000000000000000000000100010001000000011000000110000001100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_140019 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0227,IMG_20211106_140019,1111111111111001111110001111100011111000111110001111100011111100,0000010000000011000000110000000100000000000000000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_122444 (Custom).jpg,Sooty Mould,Sooty Mould__g0144,IMG_20211108_122444,1111111100011111000000110000000111000011111111110111111101111111,1111111000111110011111110011101110000111111111111111111111111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162011 (Custom).jpg,Cutting Weevil,Cutting Weevil__g0129,20211011_162011,1111110011111100111111001111000011110000011100000111000000110000,0100000011000000110000001100011010000111110000001100011011100110
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_161058 (Custom).jpg,Gall Midge,Gall Midge__g0000,IMG_20211106_161058,1110111111100111111001111110011111000111110001101100110011111100,0101100001001110010011100000110000011000100110000001100000010000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_164113 (Custom).jpg,Die Back,Die Back__g0331,20211129_164113,1111111111111101111110001110000011000100100010001001100011111000,0000000000000010000000100100011010001100001110000011000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162048 (Custom).jpg,Cutting Weevil,Cutting Weevil__g0136,20211011_162048,1111100011111000110010001110000010000000110010001001010011011110,0000000000000000100100000000010000110010100100110010100000101000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_135411 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0165,IMG_20211106_135411,1110111111101111111001111100011111000111110000001100000011000000,0001100000011000000011110001111100011111000110011001100000011000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_161500 (Custom).jpg,Gall Midge,Gall Midge__g0053,IMG_20211106_161500,1111110011111000111000011100001110000111000011110001111100111111,0000000000100001000001110000111100011111001111110111111111111011
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142814 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0399,IMG_20211106_142814,1111100011111000111110001111000011100010111000101100011111111111,0000000000000000000000110001001000000110000011000000110100110000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/20211109_121526 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0034,20211109_121526,1111111111111111110000010000000000000001000000010000011100011111,0000000000000010000001110100000100000011000001110000111001111000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_141113 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0289,IMG_20211106_141113,1110000011100000111000001111001011110011111100111111101111111111,0100100001001100000011000010010000000110000101101000011010000010
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_161923 (Custom).jpg,Anthracnose,Anthracnose__g0344,IMG_20211011_161923,1111111111111111110111110000001100000000110000001111111111111111,0000000011000001001110000000111100000001000000010010000000100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162431 (Custom).jpg,Cutting Weevil,Cutting Weevil__g0184,20211011_162431,1111100011111000110000001110010011100000111000001111100011111001,0000000000000000000101100001100000001010100010000001001000000010
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_161435 (Custom).jpg,Gall Midge,Gall Midge__g0046,IMG_20211106_161435,1111110111110001110000000000000110011111111111111111111111111111,0001000100000011000011110001111100111111100000000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_150345 (Custom).jpg,Sooty Mould,Sooty Mould__g0485,IMG_20211212_150345,1111111111100000100000000000000010000000111111111111111111111111,0000001100000111000001110110000100001001000000110000010000000101
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_161339 (Custom).jpg,Healthy,Healthy__g0387,20211231_161339,1111111011111111111111111100000100000000000000001111111111111111,1000000010000000100000000000011100000001000000010010001111010000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_162512 (Custom).jpg,Gall Midge,Gall Midge__g0134,IMG_20211106_162512,1111111100111111000000111000000111000001111100111111111111111111,0011111101111111001111100001111100000111000001110011100110010111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_162212 (Custom).jpg,Healthy,Healthy__g0462,20211231_162212,1111111111111111111111110000001100000000000000001111000011111111,0100000000000000001110000010111111000011000000010000010011000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_164427 (Custom).jpg,Anthracnose,Anthracnose__g0429,IMG_20211011_164427,1111111111111111111111111111001011110000110001001000000000000000,1110000011000000110001001110010011100100000011000001100000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_144912 (Custom).jpg,Sooty Mould,Sooty Mould__g0437,IMG_20211212_144912,1111111111111111111111101110000010000000100000001111111111111111,0000000000000000000000001000001100000001000110110000100100000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142601 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0366,IMG_20211106_142601,1111111111101111111011111100111111000101110001011100010011000000,0001001100011000000110010001101000011101000011010001110000011000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_164211 (Custom).jpg,Gall Midge,Gall Midge__g0332,IMG_20211106_164211,1111111111111111000000001000000110000111111111111111111111111111,1001110010000011000000110001111100111111001111110000111100001010
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125441 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0417,IMG_20211107_125441,1100011110000111100001111000011110000111100001111000111111001111,0000011000100110001011100010111100101101000111010011110010011001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211028_002858 (Custom).jpg,Die Back,Die Back__g0464,IMG_20211028_002858,1111111111111111111111110000111110000001111110000011111000000000,1101000010000000110000000111110000000111111000111111100010111000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_143240 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0472,IMG_20211106_143240,1111111111111011111100111111001111110011111000110000000000000000,0000101000000011001001100010011000100110101001100010011100001101
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_165820 (Custom).jpg,Gall Midge,Gall Midge__g0414,IMG_20211106_165820,1111111111111111111111110000001100000011000001111111111111111111,0000000100001000111001011000111100011111011011111110001100100001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162110 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil__g0143,20211011_162110,1111100011111000111000001010000011100000111000001110100011111100,0000000000000000100010110100101100100100100010110000101100001000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162505 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil__g0204,20211011_162505,1111110011111100111111001110000011000000110000001110000011111000,0100000001000000111000001001110010001011000000010001010111010010
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_140542 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0257,IMG_20211106_140542,1111111111111111100111110000011100000100111100010000111100000110,1111000011111101010111110001110000001101100001110111111001111100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_163119 (Custom).jpg,Die Back,Die Back__g0268,20211129_163119,1111111111111111110000001100000011110000111100001111000011110100,0000000000000000000111100000001100000011000000100000011000001000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_161537 (Custom).jpg,Die Back,Die Back__g0099,20211129_161537,1111111111111110111100001110000011000000100010001011100011110000,0000000000000000000000111100011000001100001100000110000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_160431 (Custom).jpg,Healthy,Healthy__g0289,20211231_160431,1111111111100111111001111110011111100111111001001100000010000000,1100100011001100110011001100110001001100010011000100100000011000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125157 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0387,IMG_20211107_125157,1111111111111111111111101111000010000011000001110001111100011111,1111000111111111111110001110000110001111001111100111101111111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_155606 (Custom).jpg,Healthy,Healthy__g0229,20211231_155606,1111111111111111111101110000000000000000110000001111111111111111,1110000011110000000011110000110100001010000011111100000011100000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_170224 (Custom).jpg,Gall Midge,Gall Midge__g0466,IMG_20211106_170224,1111100011111000111100001111000011110000111100001111000011110000,0000000100000001000000100000000100000001000000010000000100000001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162753 (Custom).jpg,Die Back,Die Back__g0235,20211129_162753,1110111111001111111011101110010011100000111000001110000011100000,0001100000011000000110000000100000001100000001000000010000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211028_003656 (Custom).jpg,Die Back,Die Back__g0484,IMG_20211028_003656,0000000000000000000011110001111100111111110111110100111100111111,1110111111011100100110000011000001101000101100001001100011101000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_145305 (Custom).jpg,Sooty Mould,Sooty Mould__g0460,IMG_20211212_145305,1111111111111111111100001000000100000011000001111111111111111111,1111111100111000100000010000111101111111011111101100111111111010
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125914 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0443,IMG_20211107_125914,1000011110000011100000011110000011111000111111111111111111111111,0011110000101110000001110000001100000000000001000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_123243 (Custom).jpg,Sooty Mould,Sooty Mould__g0245,IMG_20211108_123243,0000011100000011000001110000011110000111110001101100011111100111,0110111011101111111101110101111101011111001011101001111011001111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_124924 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0355,IMG_20211107_124924,1111111111111111111111111111000011000000000000001110000011111111,1111111111111111111100111100000110001111100111001100011111110111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163311 (Custom).jpg,Gall Midge,Gall Midge__g0233,IMG_20211106_163311,1000011111000011110000001111000011111000111111101111111111111111,0011110000011111000001110000001100000001000000000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_125605 (Custom).jpg,Healthy,Healthy__g0135,20211231_125605,1111111111111110111111101100000011000000111100101111111011111110,0000000000000000001000000001011100000011010001100000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211028_002812 (Custom).jpg,Die Back,Die Back__g0457,IMG_20211028_002812,0000000000000000000000000000000011111110111111111111111111111111,1111000011110000111100001011000011110000111000001111000011110000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_122502 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0242,IMG_20211107_122502,1110000111100001111000011110000111000001110000011100000111000011,1000001100001011000010110000101100000001000001110000101110011011
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_164355 (Custom).jpg,Die Back,Die Back__g0170,20211129_164355,1111111111111111111111101000000000000000111100001111100011111000,0000000000000000000000000000101101000011000000100000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_135451 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0171,IMG_20211106_135451,1111000011110000111100001111000011110000111110001111100011111000,0000010000000110100001100010011000000110000000100000001100000001
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_165537 (Custom).jpg,Gall Midge,Gall Midge__g0396,IMG_20211106_165537,1111100111111001111110011111000111110011111100111111001111110111,1110001111110011111100111110001111100110111001101110010011100100
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_123144 (Custom).jpg,Sooty Mould,Sooty Mould__g0225,IMG_20211108_123144,0001111100001111000011110000011110000111100000111000001111000011,0011000000011001000011110010111101000110000001100000011000000111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_162644 (Custom).jpg,Gall Midge,Gall Midge__g0152,IMG_20211106_162644,1111101111110011111100111111001111110001111100011111000111110011,1001011010000110000001100000011100100111000001110000011100000111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_155353 (Custom).jpg,Sooty Mould,Sooty Mould__g0365,IMG_20211211_155353,1111111100011111000000000000000000000001111111111111111111111111,0111111111111111111110110111111100011111101111111111111011111111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125025 (Custom).jpg,Powdery Mildew,Powdery Mildew__g0368,IMG_20211107_125025,1111100011110000110000001100000011100000111111111111111111111111,0010000000000000000010000001100100000000001100000000001000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_150310 (Custom).jpg,Sooty Mould,Sooty Mould__g0478,IMG_20211212_150310,1111011111110011111000111110001111000011110000111100001111000111,0010011000000110010011100100111010000110100101111001111110011111
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_143106 (Custom).jpg,Bacterial Canker,Bacterial Canker__g0446,IMG_20211106_143106,1111110011011000110000001110000011100000111100001111110011111111,0000000000110000000111110000101100001101001001010000000100000010
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211011_133757 (Custom).jpg,Anthracnose,Anthracnose__g0063,20211011_133757,1111111111111111111111110000000010000000111111001111100011000000,0000000000000000010000000000111100000011100000000000000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161909 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil__g0112,20211011_161909,1111100010011000110111000100000000000000110000001111110011111110,0100000000110000001100000101010010011000001010000010000000000000
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_140313 (Custom).jpg,Anthracnose,Anthracnose__g0178,IMG_20211011_140313,1111111111111111111111111111111111100000110000001000000011000000,1111001111001000101010001010011011000111100110010011001000000000
