filepath,label,clean_stem,ahash,dhash,group_id
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_134808 (Custom).jpg,Bacterial Canker,IMG_20211106_134808,1111100111111001111100111110001111000011100001110000011100000111,0001000100000011000001110000011000001110000011100111111001111110,Bacterial Canker__g0093
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_160602 (Custom).jpg,Anthracnose,IMG_20211011_160602,1001111110001111110011111100011111100111111000111111001101110011,0011011100011011100111111001110111001111110011111110011111100110,Anthracnose__g0304
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162502 (Custom).jpg,Cutting Weevil,20211011_162502,1111100011110000111110001111000011100000100110001111000011100000,0100010011000110110000111100011010000010011100100110011010000110,Cutting Weevil__g0201
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162117 (Custom).jpg,Die Back,20211129_162117,1111111011111111111111100000010011000000111100001111100011110000,0000000000000000111000000001110000000110000000110000000100000000,Die Back__g0165
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_122023 (Custom).jpg,Sooty Mould,IMG_20211108_122023,1111111111111001111000010000001100000111000011110001111100111111,1100001111100011000000110010011110001110101111001111010111101100,Sooty Mould__g0090
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_162349 (Custom).jpg,Die Back,20211129_162349,1111110011111000111100001111000011100100110000001100100010010000,0000000000000010000001101100010011001100000110000011000001100000,Die Back__g0194
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_123758 (Custom).jpg,Healthy,20211231_123758,1111111111111111110011111000000011000000111100111111111111111111,0000000001000000001111100010111100000111010001100000000000000000,Healthy__g0040
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_140429 (Custom).jpg,Anthracnose,IMG_20211011_140429,0000111100000111010001110110001100111111001111110011111100111111,1111100110011101110011001100011011111101111111001111110011111111,Anthracnose__g0194
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211211_160015 (Custom).jpg,Sooty Mould,IMG_20211211_160015,1111100111110001111000011100001110000011100001111000111100111111,1111000111100011010001110000111100001111000111110011111101110111,Sooty Mould__g0385
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_122516 (Custom).jpg,Powdery Mildew,IMG_20211107_122516,1111111111101111110001111100011111000111110001111100011111001111,0010000001011000000111001000110010011100000111000001110010011000,Powdery Mildew__g0244
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161934(0) (Custom).jpg,Cutting Weevil,20211011_161934(0),1111100011111000001110001000000011100000111100001110000011111110,0000000010000000111000000011000101000101011000110000100000010000,Cutting Weevil__g0120
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163950 (Custom).jpg,Gall Midge,IMG_20211106_163950,1111111111111111000000000000000010000000111111111111111111111111,0000011000001001000001110001011100010111001111110001111100000001,Gall Midge__g0294
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161859 (Custom) (Custom).jpg,Cutting Weevil,20211011_161859,1111110011111100111110001111000011110000111100001110000001100000,1100000011000000100001001000001100000011110001000000010011001001,Cutting Weevil__g0108
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_164535 (Custom).jpg,Gall Midge,IMG_20211106_164535,1111111111110011111100111110001111100011111000111100001111000111,0000011100000111000001110000011000000110000001100000111000001111,Gall Midge__g0375
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211011_170708 - Copy - Copy - Copy (Custom).jpg,Anthracnose,20211011_170708,1111111111111111111110001110000011000000110011001111110011111000,0000000000000000000000001000000010001110001110000010000000000000,Anthracnose__g0144
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142558 (Custom).jpg,Bacterial Canker,IMG_20211106_142558,1111111111111111111011111100011111000111110000001110000011000000,0000000000010001000110110001100100001110000011000001100000011000,Bacterial Canker__g0365
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211028_003033 (Custom).jpg,Die Back,IMG_20211028_003033,0000000000000000011001101100111111011111110111111101111111111111,1110011011100100110011001001100000110000101100001001000011010000,Die Back__g0467
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_170145 (Custom).jpg,Gall Midge,IMG_20211106_170145,1111111111111111111111110000011100000011100000111111111111111111,0001000000100000110100000011111000001111000001110111100101001001,Gall Midge__g0447
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163122 (Custom).jpg,Gall Midge,IMG_20211106_163122,1111111111100000000000000000000111001111111111111111111111111111,0000000000000001000000111001111110111100000001000000000000000000,Gall Midge__g0208
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_140216 (Custom) (Custom).jpg,Cutting Weevil,20211011_140216,0000111100011111001111110000001100000011100011111100111111111111,0111111111111011111101111010011101000110000110011001100011010000,Cutting Weevil__g0003
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/20211109_121705 (Custom).jpg,Powdery Mildew,20211109_121705,1111111111111001100000000000000000000000111110011111111111111100,0000000000001011000100000100000100000001000100110000000000000000,Powdery Mildew__g0046
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_135747 (Custom).jpg,Bacterial Canker,IMG_20211106_135747,1011111110011111110011111100011111100111111000011111000011110000,0011000000110000100110000000110001001101000011110000010100100100,Bacterial Canker__g0203
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/20211109_122159 (Custom).jpg,Powdery Mildew,20211109_122159,1111111111111111111111111100000010000000110000001111111111000001,0000000000000000000000010000000100000011000011110000011100001011,Powdery Mildew__g0140
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_122052 (Custom).jpg,Sooty Mould,IMG_20211108_122052,1111111111111111111111000000000000000000000000010000001100011111,1110111111101100010110011111110100111110100100111111111111111111,Sooty Mould__g0096
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211011_134710 (Custom).jpg,Anthracnose,20211011_134710,1111110011111000111100001110000010000000000000010000111111111111,0000000000000000000000000000010000100001000001110111111000100000,Anthracnose__g0107
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_145215 (Custom).jpg,Sooty Mould,IMG_20211212_145215,1111111111111111111111111000011100000001000000000000001111111111,0001111100111111100111110001111101111111011111110001111111111111,Sooty Mould__g0450
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_160515 (Custom).jpg,Anthracnose,IMG_20211011_160515,1111111111111111111111011110000111000001000000110000011100000111,1111100011111100111000011000001100000011000011100111111111111011,Anthracnose__g0297
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_164007 (Custom).jpg,Die Back,20211129_164007,1111111111111111100111101001110011000000111000001111000011110000,0000000000100000001100000011000000011100000000110000001100000000,Die Back__g0312
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_134550 (Custom).jpg,Bacterial Canker,IMG_20211106_134550,1111100111111001111110011111000011110000111100001111000011110001,0000101100010011000100110000001100000011000000110000001100000111,Bacterial Canker__g0066
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142633 (Custom).jpg,Bacterial Canker,IMG_20211106_142633,1111111111111111111100111110011111000111100001001000000010011000,0000000000000000000001000000110100001101000011000001100000110001,Bacterial Canker__g0375
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163236 (Custom).jpg,Gall Midge,IMG_20211106_163236,1111111111111100111100001110000111000011110001111000011100001111,0010110000010001001000110000011100001111000111110011111100111111,Gall Midge__g0226
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162500 (Custom).jpg,Cutting Weevil,20211011_162500,1111110011111100111101001100000011000000101100001111000011100000,1100000011000000101010001001100100000010011010100100110010000100,Cutting Weevil__g0198
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211212_144846 (Custom).jpg,Sooty Mould,IMG_20211212_144846,1110111111001111110001111110001111100001111000011110010111100111,0001100000011100000011110000111100001111010011110100111100001101,Sooty Mould__g0434
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_122523 (Custom).jpg,Powdery Mildew,IMG_20211107_122523,1110011111000111110001111100011111000111100001111000111110001111,1000110010001110100111100000111000001100001011000001100000111000,Powdery Mildew__g0245
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142941 (Custom).jpg,Bacterial Canker,IMG_20211106_142941,1111111111111111100111111000001111100000111110001111000011100000,0000000100000001011100010011111000000111000000000000000000000000,Bacterial Canker__g0424
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_124457 (Custom).jpg,Healthy,20211231_124457,1111111111111111100000001000000011100000111111111111111111111111,0000000011100000011111110000001110000011001000000000000000000000,Healthy__g0077
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125053 (Custom).jpg,Powdery Mildew,IMG_20211107_125053,1111111111111111111111110000001100000000000000011111111111111111,1111111011111111011111110111111100111101000111111111111011111111,Powdery Mildew__g0375
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163908 (Custom).jpg,Gall Midge,IMG_20211106_163908,1111111111100000100000001000001110011111111111111111111111111111,0000000100000000000001110001111100111110001111000000100000000000,Gall Midge__g0287
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_160432 (Custom).jpg,Die Back,20211129_160432,1111111111111111111000011100000000011111011111110111111100000000,0000001010110000010000110001101100111001010010001110000001100110,Die Back__g0002
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_123605 (Custom).jpg,Sooty Mould,IMG_20211108_123605,0000001100000001000000110000111111111111111111111111111111111111,1101111111011011110011110111111101110111110010111100111100001111,Sooty Mould__g0281
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_134927 (Custom).jpg,Bacterial Canker,IMG_20211106_134927,1101111111001111100011111000011100000111000001111000011111000111,0001011100011011000110110000110100001101000011110001111100011111,Bacterial Canker__g0104
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/IMG_20211028_003454 (Custom).jpg,Die Back,IMG_20211028_003454,1111111111111100111110001111100011000010100000101111111011111100,1000000000000001000010010100001100000110000011001000110000000000,Die Back__g0477
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211008_124345 (Custom).jpg,Anthracnose,20211008_124345,1111111111111111110011111100011111100011111000011111000111110000,0000000000110000100110011001100110001110110001110010011100100111,Anthracnose__g0014
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161953 (Custom).jpg,Cutting Weevil,20211011_161953,1111110011100100100000001000000011000000111000001111111011111111,0000000000001000001001000010001100001011000010110100100000000000,Cutting Weevil__g0123
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_122413 (Custom).jpg,Powdery Mildew,IMG_20211107_122413,1111111111111111111111111111111100000000000000010000001111111111,1111111111111111111111110001111101111001111100110011111100011101,Powdery Mildew__g0234
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_124049 (Custom).jpg,Powdery Mildew,IMG_20211107_124049,1111111100000111000000110000000100000000000000001111111111111111,0001111100011111111001111010011111100110111001110011111111101110,Powdery Mildew__g0314
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211008_124306 (Custom).jpg,Anthracnose,20211008_124306,1110000011100000111000001110001011110010111100111111011111111111,1100110011001100110001001100011011000110110001101100010011000000,Anthracnose__g0008
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_142723 (Custom).jpg,Bacterial Canker,IMG_20211106_142723,1111111111101111111001111110011111100001111000001110000011100000,0000100000001000000011100100110000001101000011000000101101001000,Bacterial Canker__g0385
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_121604 (Custom).jpg,Sooty Mould,IMG_20211108_121604,1000001111000011110000111100001111100011111101111111111111111111,0010111000000110000001100000111000001110000001000000010000000100,Sooty Mould__g0051
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162527 (Custom) (Custom).jpg,Cutting Weevil,20211011_162527,1111110011111000111100001011000011110000111100001110000011101000,1000000000000000010001000110001100000111011011011100101000011001,Cutting Weevil__g0214
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_162616 (Custom).jpg,Anthracnose,IMG_20211011_162616,1110111111100111111000101110001111100011111000111110011011111000,0100100001001100000011001100111001001100010011000000110000000010,Anthracnose__g0376
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_161108 (Custom).jpg,Die Back,20211129_161108,1111111011111100111110001111000010000000100010001111100011110000,0000000000000001000000111000011000001100001110000000000000000000,Die Back__g0082
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_161001 (Custom).jpg,Healthy,20211231_161001,1001111110001111110001111110001111100011111000011111000111111001,0011000000111000000111000000111000000110000001110010001100010011,Healthy__g0353
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_170534 (Custom).jpg,Cutting Weevil,20211011_170534,1111110011001100111001000111000011000000111100001111000011111000,0010100000011000100010001100010000000011000000100000011000000000,Cutting Weevil__g0234
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_141242 (Custom).jpg,Bacterial Canker,IMG_20211106_141242,1111111111110111111100111111000111110001111110001111000000000000,0000000000000100000001100000011100000011000100110000001010000010,Bacterial Canker__g0303
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_125407 (Custom).jpg,Powdery Mildew,IMG_20211107_125407,1111001111000011110000111000001110000011000000110000001100000111,0000011000000110000011100000011100001111000011110100011001000110,Powdery Mildew__g0410
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_141137 (Custom).jpg,Bacterial Canker,IMG_20211106_141137,1111100011111000111100001100000011100000111111101111111111111111,1000000000000000010000010000000100000110000000000000000000000000,Bacterial Canker__g0294
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Sooty Mould/IMG_20211108_121333 (Custom).jpg,Sooty Mould,IMG_20211108_121333,1000000111000000111000001110000011110000111110001111111111111111,0010001100010011000000110000000100000000000000010000000100000000,Sooty Mould__g0039
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_164135 (Custom).jpg,Gall Midge,IMG_20211106_164135,1111111111101111111001111110001111110001111100001111100011111000,1001000001001000010011000000011100000111000000110000000100000001,Gall Midge__g0322
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_125951 (Custom).jpg,Healthy,20211231_125951,1110111111100111111001111110011111100110111001101110011011110110,0101100001001000010011000100110001001100010011000000110000001100,Healthy__g0145
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162516 (Custom) (Custom).jpg,Cutting Weevil,20211011_162516,1111110011111100111100001110000011100000110100001011000011111000,1000000000000000000001010000100111001001001001000010001000000010,Cutting Weevil__g0205
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_164403 (Custom).jpg,Gall Midge,IMG_20211106_164403,1111111111111111001111110000011100000001111110010111111111111111,1111111111111111111111110111111100100111111100111111111111111111,Gall Midge__g0351
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Powdery Mildew/IMG_20211107_124058 (Custom).jpg,Powdery Mildew,IMG_20211107_124058,0011111100011111000011110000000000000000000000110001111111111111,1110111001111110100111011000110100011011000111110111111011000000,Powdery Mildew__g0317
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Bacterial Canker/IMG_20211106_141035 (Custom).jpg,Bacterial Canker,IMG_20211106_141035,1111111111111111101111111000111011000000111000001111000011100000,0000010010000100001100000001100000001110000001100000000000000000,Bacterial Canker__g0283
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_161418(0) (Custom) (Custom).jpg,Cutting Weevil,20211011_161418(0),1111110011101100110010001110000010000000111001001010011011111110,0000000000011000000110110100101100101000001011000100110001100000,Cutting Weevil__g0053
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Cutting Weevil/20211011_162132 (Custom) (Custom).jpg,Cutting Weevil,20211011_162132,1111111011111100111111000111110001100000101100001100000011010000,0000000000000000110000011111000111001001011011001001011010110101,Cutting Weevil__g0153
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Die Back/20211129_160853 (Custom).jpg,Die Back,20211129_160853,1111100011111100111111001100000011100000111110001111100011111000,0000000000000000000000000001000100000011000000000000000000000000,Die Back__g0052
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/20211008_125110 (Custom).jpg,Anthracnose,20211008_125110,1111111111111111111111110010000000000000111000001111110011111111,1100100000001000111000001100111000011110100000100110000001100011,Anthracnose__g0032
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Anthracnose/IMG_20211011_164910 (Custom).jpg,Anthracnose,IMG_20211011_164910,1111111100111111000011110000011101000011001100010011111100011111,1111111001111110011110000001111010001111111000111111100111111111,Anthracnose__g0446
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Healthy/20211231_123341 (Custom).jpg,Healthy,20211231_123341,1111111111110111111001111110011111100110111001101100111111001111,0000010000000100001011000100110001001100010010001001100010010000,Healthy__g0015
/Users/wirapongc/Library/CloudStorage/GoogleDrive-wirach@kku.ac.th/My Drive/OpenClawMacMini/Mango Plant Disease/dataset/Gall Midge/IMG_20211106_163944 (Custom).jpg,Gall Midge,IMG_20211106_163944,1111111111111111111110010000000000000000100000111111111111111111,0000110000000110000000110000000101010111001111110011110000000000,Gall Midge__g0290
